seed_id,pool,dimension,n_articles,sensitivity_mean,sensitivity_std,sensitivity_ci_low,sensitivity_ci_high,pri_mean,pri_std,pri_ci_low,pri_ci_high,sms_drift_mean,cs_var_mean,faith_var_mean,cs_mean,faith_mean
A28,A,Emphasis Focus,30,0.6839670891705583,0.16109177140977932,0.6259725531306587,0.7407551065789891,0.7069757283665525,0.04657557945097202,0.6900573829035229,0.7236630967762229,0.12333080371220907,0.008782263857665217,0.015281710715998032,0.5980090080805582,0.5880195880929631
A29,A,Tone Register,30,0.3917786460815147,0.08859819230163524,0.3594647225134217,0.4226534356237492,0.7735648773368607,0.039604561359495916,0.7592726425803733,0.7873035509889186,0.062751970688502,0.002219883651327231,0.012706178863707908,0.7380978031782149,0.5613257379995452
A30,A,Tone Register,30,0.5505670446964644,0.13888458207994148,0.5001742431462246,0.5996769274754599,0.7284865162072377,0.045439755540834646,0.7127356159291054,0.7445784996658366,0.10385570526123047,0.003653396812341521,0.008760628830520471,0.6588608992377338,0.557709934314092
A31,A,Tone Register,30,0.4507163505829284,0.12993150429173525,0.4032144445503352,0.4953156866482417,0.7461379615836674,0.03560430355021527,0.7333432549757049,0.7587230753359036,0.09933955868085226,0.0020777999684327884,0.0009170156208385069,0.7452486570151078,0.5001470204028818
A32,A,Tone Register,30,0.4365513516947807,0.15822777189651352,0.37872343467073294,0.4910013818736301,0.7381237299830369,0.03356512855580933,0.7260652466938358,0.7498972010071754,0.07136046886444092,0.004763541336929,0.004325654974424372,0.6756301194154509,0.5207895029336214
A33,A,Completeness Framing,30,0.5465230788779822,0.20003308283460824,0.47210767495790845,0.6172930366275929,0.7014947692703912,0.04680660343032712,0.6841696980571211,0.7176259538367936,0.10288960138956706,0.006476336316401774,0.004585021762748375,0.5995187835991503,0.5312761422660616
A34,A,Completeness Framing,30,0.4365513516947807,0.12475488319220052,0.3898578417357604,0.4802989294450269,0.7726357351042089,0.04556864750953816,0.7565295298428089,0.7888710063205954,0.07147268851598104,0.0024395584154055334,0.014004869532934684,0.7430591783103034,0.5646163924079802
A35,A,Completeness Framing,30,0.4397630166142508,0.17001494246002247,0.37788311255122464,0.5015190285587218,0.758407624252079,0.04201318847553174,0.7433816047546875,0.7730878219338386,0.07168248494466146,0.002343591236188735,0.01307296373396751,0.7016799644698358,0.5659705226620039
B01,B,Lexical Filter,30,0.4310206804536358,0.15817314602091642,0.3767502144286668,0.4894552717684805,0.6314254699982139,0.035337245115611995,0.6189055403857862,0.6438985355029282,0.08881934682528178,0.0012185076845373697,0.007234872037092912,0.3734583101822079,0.5449712006582155
B02,B,Lexical Filter,30,0.4027796308650211,0.13838076989529072,0.35247680993678326,0.45074295562120775,0.778222258406666,0.06068180048893438,0.7572615173340813,0.8002623812236832,0.06260542869567871,0.0021669489600049637,0.013288932350948137,0.7250931372040424,0.5979273274540902
B03,B,Lexical Filter,30,0.42819022205279716,0.17973232121772106,0.36226952889227737,0.4903750119127037,0.7461862090765227,0.04727520408528279,0.7293790714714554,0.7632026473751028,0.07223254640897116,0.0034591692131581853,0.0066696828659879815,0.6897114672749038,0.5347208563755783
B04,B,Theme Isolation,30,0.7765049715683474,0.15254076754904064,0.7199432955303537,0.8291889831316116,0.5992473234358595,0.08654766354310686,0.5677274136955732,0.6296048193768212,0.22472444077332815,0.027280689439713193,0.008842583952605725,0.4702095169908825,0.4982550751935277
B05,B,Theme Isolation,30,0.634781918104133,0.12502702769235882,0.5892019282696401,0.6788688490739858,0.6580671829669118,0.04889231891068695,0.6406053243785947,0.6752710170052143,0.17285460829734803,0.006080197141961409,0.0011917028901576659,0.5769563075660306,0.5010972745509611
B06,B,Theme Isolation,30,0.695177737539312,0.12192288945124707,0.6498330633120494,0.7376398551415232,0.6722694937533228,0.042753520899245286,0.6567833184804698,0.6871084470009232,0.13302827874819437,0.005859907145907429,0.017798423089586384,0.5182996302607292,0.5763037386453813
B07,B,Theme Isolation,30,0.5700943486133613,0.132127152259258,0.5222391912068365,0.6173518853839068,0.7360400834506112,0.044444965255842524,0.7202929810522921,0.7518828582422594,0.09467492500940959,0.0034117050308493956,0.015709359805081525,0.6492863831043307,0.5866392774714364
B08,B,Theme Isolation,30,0.6254582420026049,0.17279012634523896,0.5630397248959623,0.6880481432065823,0.7306965152340535,0.0615754350692384,0.709593705431827,0.7540813821329903,0.11680187781651814,0.004842722796838293,0.019976967887027186,0.6330461837116889,0.6234044082462786
B09,B,Persona / Tone,30,0.5322818386861082,0.1419527924153419,0.47945122144922014,0.5818672765970965,0.7021387248595824,0.04260846338810814,0.6864828096939738,0.7169047422982092,0.08997003436088562,0.006196802888984453,0.005268222011220034,0.5888481298212784,0.5281195726659563
B10,B,Persona / Tone,30,0.4675688554274279,0.17109124327171,0.4057701165856603,0.5295325455065282,0.7005622092846188,0.049684208872614447,0.6833285052830581,0.7187378308163159,0.09279630581537883,0.0026599390557097194,0.0036869949228434135,0.589943589732709,0.5248019008172883
B11,B,Persona / Tone,30,0.3454175799739509,0.12507702075937502,0.3021970996537374,0.3920141205247944,0.7850697096415528,0.0549294853276108,0.7662241960329566,0.804765793086898,0.05136687358220418,0.0013127457697658454,0.014750925121301082,0.731876029827421,0.597839394539349
B12,B,Persona / Tone,30,0.5670065758124465,0.16348402146292476,0.5082763111915879,0.6240987642555355,0.6974860619968927,0.032431619898179685,0.686104399660082,0.7093991541872098,0.11222987572352092,0.011388125782596605,0.004224189899770343,0.60527765932658,0.5221233260879914
B13,B,Persona / Tone,30,0.5208901172210045,0.1532375746715886,0.46590060040026693,0.5756928428476127,0.7308762524769267,0.043905275365674144,0.7154142553164887,0.7468865424147383,0.07881822983423868,0.00413794154152931,0.015378083302959832,0.6281311825378242,0.5702305220895343
B14,B,Persona / Tone,30,0.5998252803456272,0.1544155995883635,0.5449880078782681,0.654003939134026,0.669199830462449,0.041086560076124205,0.6546922176591183,0.6840862239458025,0.12714654405911763,0.007553300278451866,0.003579338608213518,0.5473703168779515,0.5139153487152525
B15,B,Meta-reflection,30,0.560805616442708,0.18033151000457834,0.4940422980399632,0.6246874106547224,0.7130204165241671,0.04654575990021115,0.6960140745215434,0.7293056765586592,0.10051942865053813,0.004340989663633471,0.012472471260649015,0.6159010038995237,0.5506513464781972
